text,font_size,font_name,is_bold,is_italic,x0,y0,x1,y1,page,label
Whether the concession is to be availed for,9.744400024414062,Tahoma,0,0,95.99856567382812,288.9761962890625,295.9429626464844,300.73797607421875,1,Body
visiting home town and if so block for which,9.744400024414062,Tahoma,0,0,95.99856567382812,306.5551147460937,296.043212890625,318.31689453125,1,Body
LTC is to be availed.,9.744400024414062,Tahoma,0,0,95.99856567382812,324.1924743652344,186.0455780029297,335.9542541503906,1,Body
9.,9.744400024414062,Tahoma-Bold,1,0,70.0199966430664,362.8290100097656,82.12223815917969,374.5907897949219,1,Body
(a) If the concession is to visit anywhere in,9.744400024414062,Tahoma,0,0,95.99856567382812,342.24884033203125,296.00146484375,354.0106201171875,1,Body
"India, the place to be visited.",9.744400024414062,Tahoma,0,0,95.99856567382812,359.8861999511719,224.37913513183597,371.6479797363281,1,Body
(b) Block for which to be availed.,9.744400024414062,Tahoma,0,0,95.99856567382812,377.465087890625,241.2865753173828,389.2268676757813,1,Body
10.,9.744400024414062,Tahoma-Bold,1,0,70.0199966430664,416.1698303222656,88.30408477783203,427.9316101074219,1,Body
Single,9.744400024414062,Tahoma,0,0,95.99856567382812,395.5896606445313,124.83907318115234,407.3514404296875,1,Body
rail,9.744400024414062,Tahoma,0,0,136.138671875,395.5896606445313,152.3007354736328,407.3514404296875,1,Body
fare/bus,9.744400024414062,Tahoma,0,0,163.60035705566406,395.5896606445313,202.4074249267578,407.3514404296875,1,Body
fare,9.744400024414062,Tahoma,0,0,213.70704650878903,395.5896606445313,233.50181579589844,407.3514404296875,1,Body
from,9.744400024414062,Tahoma,0,0,244.8404083251953,395.5896606445313,267.93756103515625,407.3514404296875,1,Body
the,9.744400024414062,Tahoma,0,0,279.2371520996094,395.5896606445313,296.0764465332031,407.3514404296875,1,Body
headquarters to home town/place of visit by,9.744400024414062,Tahoma,0,0,95.99856567382812,413.1685485839844,296.0033569335937,424.9303283691406,1,Body
shortest route.,9.744400024414062,Tahoma,0,0,95.99856567382812,430.7474365234375,161.98275756835938,442.50921630859375,1,Body
11.,9.744400024414062,Tahoma-Bold,1,0,70.0199966430664,498.607421875,88.30408477783203,510.36920166015625,1,Body
Persons in respect of whom LTC is proposed to be availed.,9.744400024414062,Tahoma,0,0,95.99856567382812,448.9304809570313,350.7561340332031,460.6922607421875,1,Body
S.No,9.744400024414062,Tahoma-Bold,1,0,95.99856567382812,464.0538024902344,121.62602996826172,475.8155822753906,1,Body
Name,9.744400024414062,Tahoma-Bold,1,0,211.4122009277344,464.0538024902344,242.7206573486328,475.8155822753906,1,Body
Age,9.744400024414062,Tahoma-Bold,1,0,343.4770812988281,464.0538024902344,364.9436950683594,475.8155822753906,1,Body
Relationship,9.744400024414062,Tahoma-Bold,1,0,444.5849609375,464.0538024902344,508.5712890625,475.8155822753906,1,Body
1.,9.744400024414062,Tahoma-Bold,1,0,103.62838745117188,476.23431396484375,115.73062896728516,487.99609375,1,Body
2.,9.744400024414062,Tahoma-Bold,1,0,103.62838745117188,488.4732666015625,115.73062896728516,500.2350463867188,1,Body
3.,9.744400024414062,Tahoma-Bold,1,0,103.62838745117188,500.6537780761719,115.73062896728516,512.4155883789062,1,Body
4.,9.744400024414062,Tahoma-Bold,1,0,103.62838745117188,512.951171875,115.73062896728516,524.7129516601562,1,Body
5.,9.744400024414062,Tahoma-Bold,1,0,103.62838745117188,529.448486328125,115.73062896728516,541.2102661132812,1,Body
6.,9.744400024414062,Tahoma-Bold,1,0,103.62838745117188,541.6874389648438,115.73062896728516,553.44921875,1,Body
12.  Amount of advance required.,9.744400024414062,Tahoma-Bold,1,0,70.02969360351562,567.00341796875,88.31378173828125,578.7651977539062,1,H1
Rs.,9.744400024414062,Tahoma,0,0,304.39227294921875,561.1275024414062,320.76092529296875,572.8892822265625,1,Body
I declare that the particulars furnished above are true and correct to the best of my knowledge.  I,9.744400024414062,Tahoma,0,0,105.07057189941406,596.8309936523438,573.1700439453125,608.5927734375,1,Body
undertake to produce the tickets for the outward journey within ten days of receipt of the advance.,9.744400024414062,Tahoma,0,0,70.0296630859375,608.5339965820312,499.6541748046875,620.2957763671875,1,Body
In the event of cancellation of the journey or if I fail to produce the tickets within ten days of receipt of,9.744400024414062,Tahoma,0,0,105.0802764892578,632.0570068359375,573.1622314453125,643.8187866210938,1,Body
"advance, I undertake to refund the entire advance in one lump sum.",9.744400024414062,Tahoma,0,0,70.0394287109375,643.8184814453125,367.6508483886719,655.5802612304688,1,Body
Date,9.744400024414062,Tahoma-Bold,1,0,70.0394287109375,678.9762573242188,95.87933349609376,690.738037109375,1,Body
Signature of Government Servant.,9.744400024414062,Tahoma-Bold,1,0,403.0445556640625,690.73779296875,572.9747924804688,702.4995727539062,1,Body
