document,section_title,text,page_number,tfidf_sim_persona,tfidf_sim_job,section_length,title_length,relevance
Document_8.pdf,Introduction,This is a sample text for the section Introduction. It contains information relevant to the topic.,16,0.496,0.152,447,12,1
Document_7.pdf,Objectives,This is a sample text for the section Objectives. It contains information relevant to the topic.,4,0.287,0.388,63,10,0
Document_6.pdf,Case Study,This is a sample text for the section Case Study. It contains information relevant to the topic.,17,0.085,0.175,403,10,1
Document_2.pdf,Future Work,This is a sample text for the section Future Work. It contains information relevant to the topic.,3,0.229,0.863,107,11,0
Document_8.pdf,Scope,This is a sample text for the section Scope. It contains information relevant to the topic.,10,0.811,0.152,491,5,0
Document_6.pdf,Case Study,This is a sample text for the section Case Study. It contains information relevant to the topic.,20,0.737,0.654,418,10,0
Document_5.pdf,Analysis,This is a sample text for the section Analysis. It contains information relevant to the topic.,12,0.149,0.926,204,8,0
Document_6.pdf,Analysis,This is a sample text for the section Analysis. It contains information relevant to the topic.,15,0.814,0.116,297,8,1
Document_3.pdf,Abstract,This is a sample text for the section Abstract. It contains information relevant to the topic.,13,0.906,0.277,103,8,1
Document_7.pdf,Findings,This is a sample text for the section Findings. It contains information relevant to the topic.,3,0.114,0.052,322,8,0
Document_1.pdf,Recommendations,This is a sample text for the section Recommendations. It contains information relevant to the topic.,4,0.342,0.983,63,15,1
Document_4.pdf,Methodology,This is a sample text for the section Methodology. It contains information relevant to the topic.,5,0.314,0.77,348,11,0
Document_2.pdf,Case Study,This is a sample text for the section Case Study. It contains information relevant to the topic.,4,0.239,0.761,230,10,1
Document_4.pdf,Overview,This is a sample text for the section Overview. It contains information relevant to the topic.,3,0.691,0.826,431,8,0
Document_6.pdf,Appendix,This is a sample text for the section Appendix. It contains information relevant to the topic.,3,0.728,0.491,200,8,1
Document_4.pdf,Background,This is a sample text for the section Background. It contains information relevant to the topic.,3,0.219,0.892,139,10,0
Document_3.pdf,Abstract,This is a sample text for the section Abstract. It contains information relevant to the topic.,5,0.786,0.069,411,8,1
Document_3.pdf,Abstract,This is a sample text for the section Abstract. It contains information relevant to the topic.,4,0.53,0.727,123,8,1
Document_7.pdf,Findings,This is a sample text for the section Findings. It contains information relevant to the topic.,9,0.215,0.919,344,8,0
Document_8.pdf,Results,This is a sample text for the section Results. It contains information relevant to the topic.,6,0.83,0.42,343,7,1
Document_1.pdf,Scope,This is a sample text for the section Scope. It contains information relevant to the topic.,15,0.713,0.598,158,5,0
Document_7.pdf,Objectives,This is a sample text for the section Objectives. It contains information relevant to the topic.,15,0.072,0.398,436,10,0
Document_6.pdf,Recommendations,This is a sample text for the section Recommendations. It contains information relevant to the topic.,18,0.624,0.47,277,15,0
Document_1.pdf,Background,This is a sample text for the section Background. It contains information relevant to the topic.,15,0.112,0.515,327,10,0
Document_7.pdf,Results,This is a sample text for the section Results. It contains information relevant to the topic.,20,0.335,0.562,494,7,1
Document_2.pdf,Appendix,This is a sample text for the section Appendix. It contains information relevant to the topic.,17,0.269,0.835,65,8,0
Document_9.pdf,Key Points,This is a sample text for the section Key Points. It contains information relevant to the topic.,1,0.765,0.701,246,10,0
Document_3.pdf,Future Work,This is a sample text for the section Future Work. It contains information relevant to the topic.,6,0.405,0.069,453,11,0
Document_2.pdf,References,This is a sample text for the section References. It contains information relevant to the topic.,14,0.581,0.446,446,10,1
Document_3.pdf,Summary,This is a sample text for the section Summary. It contains information relevant to the topic.,12,0.182,0.911,359,7,1
Document_3.pdf,Analysis,This is a sample text for the section Analysis. It contains information relevant to the topic.,1,0.783,0.576,453,8,1
Document_6.pdf,Key Points,This is a sample text for the section Key Points. It contains information relevant to the topic.,3,0.548,0.137,163,10,0
Document_7.pdf,Objectives,This is a sample text for the section Objectives. It contains information relevant to the topic.,17,0.774,0.845,487,10,0
Document_10.pdf,Overview,This is a sample text for the section Overview. It contains information relevant to the topic.,20,0.708,0.341,185,8,1
Document_6.pdf,Background,This is a sample text for the section Background. It contains information relevant to the topic.,1,0.385,0.405,343,10,1
Document_6.pdf,Case Study,This is a sample text for the section Case Study. It contains information relevant to the topic.,11,0.186,0.756,203,10,0
Document_5.pdf,Methodology,This is a sample text for the section Methodology. It contains information relevant to the topic.,19,0.381,0.74,78,11,0
Document_1.pdf,Abstract,This is a sample text for the section Abstract. It contains information relevant to the topic.,14,0.157,0.102,339,8,1
Document_5.pdf,Case Study,This is a sample text for the section Case Study. It contains information relevant to the topic.,5,0.829,0.029,268,10,1
Document_10.pdf,Overview,This is a sample text for the section Overview. It contains information relevant to the topic.,19,0.003,0.772,194,8,0
Document_5.pdf,Background,This is a sample text for the section Background. It contains information relevant to the topic.,20,0.878,0.744,362,10,1
Document_10.pdf,Limitations,This is a sample text for the section Limitations. It contains information relevant to the topic.,16,0.768,0.854,495,11,1
Document_9.pdf,Background,This is a sample text for the section Background. It contains information relevant to the topic.,12,0.991,0.179,164,10,1
Document_7.pdf,Limitations,This is a sample text for the section Limitations. It contains information relevant to the topic.,17,0.156,0.47,70,11,1
Document_5.pdf,Case Study,This is a sample text for the section Case Study. It contains information relevant to the topic.,3,0.913,0.248,176,10,0
Document_10.pdf,References,This is a sample text for the section References. It contains information relevant to the topic.,3,0.641,0.029,88,10,0
Document_8.pdf,Findings,This is a sample text for the section Findings. It contains information relevant to the topic.,19,0.103,0.102,468,8,0
Document_8.pdf,Key Points,This is a sample text for the section Key Points. It contains information relevant to the topic.,14,0.005,0.536,260,10,0
Document_1.pdf,Introduction,This is a sample text for the section Introduction. It contains information relevant to the topic.,6,0.835,0.823,108,12,1
Document_2.pdf,Conclusion,This is a sample text for the section Conclusion. It contains information relevant to the topic.,6,0.986,0.764,384,10,1
Document_7.pdf,Key Points,This is a sample text for the section Key Points. It contains information relevant to the topic.,12,0.584,0.795,51,10,0
Document_1.pdf,Abstract,This is a sample text for the section Abstract. It contains information relevant to the topic.,3,0.24,0.717,70,8,1
Document_1.pdf,Findings,This is a sample text for the section Findings. It contains information relevant to the topic.,14,0.272,0.921,87,8,1
Document_1.pdf,Objectives,This is a sample text for the section Objectives. It contains information relevant to the topic.,12,0.735,0.866,436,10,1
Document_8.pdf,Discussion,This is a sample text for the section Discussion. It contains information relevant to the topic.,7,0.759,0.493,295,10,0
Document_8.pdf,Limitations,This is a sample text for the section Limitations. It contains information relevant to the topic.,13,0.178,0.093,227,11,1
Document_2.pdf,Recommendations,This is a sample text for the section Recommendations. It contains information relevant to the topic.,13,0.353,0.489,99,15,1
Document_9.pdf,Discussion,This is a sample text for the section Discussion. It contains information relevant to the topic.,18,0.348,0.722,488,10,0
Document_4.pdf,Case Study,This is a sample text for the section Case Study. It contains information relevant to the topic.,12,0.603,0.306,394,10,1
Document_7.pdf,Overview,This is a sample text for the section Overview. It contains information relevant to the topic.,20,0.028,0.649,360,8,0
Document_3.pdf,Analysis,This is a sample text for the section Analysis. It contains information relevant to the topic.,20,0.493,0.239,77,8,1
Document_9.pdf,Conclusion,This is a sample text for the section Conclusion. It contains information relevant to the topic.,3,0.972,0.876,265,10,0
Document_4.pdf,Recommendations,This is a sample text for the section Recommendations. It contains information relevant to the topic.,16,0.572,0.446,474,15,1
Document_8.pdf,Findings,This is a sample text for the section Findings. It contains information relevant to the topic.,16,0.102,0.767,486,8,1
Document_1.pdf,Limitations,This is a sample text for the section Limitations. It contains information relevant to the topic.,17,0.19,0.921,320,11,0
Document_9.pdf,Results,This is a sample text for the section Results. It contains information relevant to the topic.,8,0.813,0.214,500,7,1
Document_10.pdf,Future Work,This is a sample text for the section Future Work. It contains information relevant to the topic.,13,0.228,0.233,207,11,1
Document_7.pdf,Discussion,This is a sample text for the section Discussion. It contains information relevant to the topic.,12,0.096,0.408,265,10,1
Document_4.pdf,Conclusion,This is a sample text for the section Conclusion. It contains information relevant to the topic.,15,0.34,0.603,274,10,1
Document_7.pdf,Future Work,This is a sample text for the section Future Work. It contains information relevant to the topic.,5,0.447,0.712,494,11,1
Document_6.pdf,Findings,This is a sample text for the section Findings. It contains information relevant to the topic.,12,0.867,0.764,475,8,0
Document_7.pdf,References,This is a sample text for the section References. It contains information relevant to the topic.,2,0.11,0.554,265,10,1
Document_4.pdf,Objectives,This is a sample text for the section Objectives. It contains information relevant to the topic.,11,0.557,0.728,432,10,1
Document_2.pdf,References,This is a sample text for the section References. It contains information relevant to the topic.,13,0.396,0.455,320,10,1
Document_7.pdf,Summary,This is a sample text for the section Summary. It contains information relevant to the topic.,1,0.372,0.437,351,7,0
Document_6.pdf,Background,This is a sample text for the section Background. It contains information relevant to the topic.,3,0.67,0.741,303,10,1
Document_4.pdf,Future Work,This is a sample text for the section Future Work. It contains information relevant to the topic.,2,0.859,0.785,493,11,1
Document_2.pdf,Overview,This is a sample text for the section Overview. It contains information relevant to the topic.,1,0.292,0.053,384,8,0
Document_6.pdf,Objectives,This is a sample text for the section Objectives. It contains information relevant to the topic.,19,0.129,0.224,336,10,1
Document_3.pdf,Recommendations,This is a sample text for the section Recommendations. It contains information relevant to the topic.,16,0.592,0.585,176,15,1
Document_10.pdf,Objectives,This is a sample text for the section Objectives. It contains information relevant to the topic.,9,0.163,0.964,102,10,0
Document_2.pdf,Key Points,This is a sample text for the section Key Points. It contains information relevant to the topic.,6,0.949,0.163,313,10,0
Document_1.pdf,Findings,This is a sample text for the section Findings. It contains information relevant to the topic.,8,0.4,0.744,383,8,0
Document_6.pdf,Analysis,This is a sample text for the section Analysis. It contains information relevant to the topic.,15,0.771,0.654,395,8,1
Document_10.pdf,Overview,This is a sample text for the section Overview. It contains information relevant to the topic.,12,0.209,0.759,490,8,0
Document_3.pdf,Recommendations,This is a sample text for the section Recommendations. It contains information relevant to the topic.,6,0.939,0.998,355,15,0
Document_7.pdf,Case Study,This is a sample text for the section Case Study. It contains information relevant to the topic.,6,0.731,0.29,58,10,0
Document_6.pdf,Objectives,This is a sample text for the section Objectives. It contains information relevant to the topic.,10,0.829,0.009,327,10,0
Document_10.pdf,Limitations,This is a sample text for the section Limitations. It contains information relevant to the topic.,17,0.017,0.627,315,11,0
Document_3.pdf,Summary,This is a sample text for the section Summary. It contains information relevant to the topic.,2,0.903,0.477,51,7,0
Document_6.pdf,Findings,This is a sample text for the section Findings. It contains information relevant to the topic.,13,0.238,0.528,236,8,1
Document_8.pdf,Summary,This is a sample text for the section Summary. It contains information relevant to the topic.,6,0.041,0.023,119,7,0
Document_4.pdf,Introduction,This is a sample text for the section Introduction. It contains information relevant to the topic.,19,0.652,0.721,79,12,1
Document_6.pdf,Key Points,This is a sample text for the section Key Points. It contains information relevant to the topic.,9,0.768,0.599,253,10,0
Document_6.pdf,Introduction,This is a sample text for the section Introduction. It contains information relevant to the topic.,7,0.045,0.777,109,12,1
Document_8.pdf,Introduction,This is a sample text for the section Introduction. It contains information relevant to the topic.,13,0.519,0.327,309,12,0
Document_9.pdf,Objectives,This is a sample text for the section Objectives. It contains information relevant to the topic.,15,0.952,0.169,180,10,0
Document_8.pdf,Conclusion,This is a sample text for the section Conclusion. It contains information relevant to the topic.,16,0.07,0.216,429,10,0
Document_8.pdf,Overview,This is a sample text for the section Overview. It contains information relevant to the topic.,4,0.4,0.637,192,8,1
Document_5.pdf,Abstract,This is a sample text for the section Abstract. It contains information relevant to the topic.,4,0.304,0.321,366,8,0
Document_6.pdf,Analysis,This is a sample text for the section Analysis. It contains information relevant to the topic.,8,0.74,0.25,182,8,0
Document_7.pdf,Conclusion,This is a sample text for the section Conclusion. It contains information relevant to the topic.,5,0.497,0.167,291,10,0
Document_4.pdf,Objectives,This is a sample text for the section Objectives. It contains information relevant to the topic.,18,0.693,0.918,299,10,0
Document_9.pdf,References,This is a sample text for the section References. It contains information relevant to the topic.,15,0.282,0.5,174,10,0
Document_7.pdf,Discussion,This is a sample text for the section Discussion. It contains information relevant to the topic.,6,0.587,0.832,241,10,0
Document_10.pdf,Conclusion,This is a sample text for the section Conclusion. It contains information relevant to the topic.,4,0.303,0.69,55,10,1
Document_1.pdf,Abstract,This is a sample text for the section Abstract. It contains information relevant to the topic.,18,0.907,0.129,240,8,0
Document_8.pdf,Methodology,This is a sample text for the section Methodology. It contains information relevant to the topic.,5,0.97,0.641,190,11,1
Document_8.pdf,Introduction,This is a sample text for the section Introduction. It contains information relevant to the topic.,17,0.423,0.259,500,12,0
Document_6.pdf,Overview,This is a sample text for the section Overview. It contains information relevant to the topic.,17,0.59,0.704,271,8,0
Document_3.pdf,Abstract,This is a sample text for the section Abstract. It contains information relevant to the topic.,5,0.451,0.216,61,8,0
Document_3.pdf,Discussion,This is a sample text for the section Discussion. It contains information relevant to the topic.,18,0.601,0.693,221,10,1
Document_7.pdf,Findings,This is a sample text for the section Findings. It contains information relevant to the topic.,6,0.258,0.877,478,8,1
Document_5.pdf,Key Points,This is a sample text for the section Key Points. It contains information relevant to the topic.,2,0.157,0.355,491,10,0
Document_3.pdf,Findings,This is a sample text for the section Findings. It contains information relevant to the topic.,1,0.432,0.353,435,8,0
Document_1.pdf,Methodology,This is a sample text for the section Methodology. It contains information relevant to the topic.,8,0.142,0.212,316,11,1
Document_10.pdf,Discussion,This is a sample text for the section Discussion. It contains information relevant to the topic.,14,0.738,0.16,177,10,0
Document_1.pdf,Background,This is a sample text for the section Background. It contains information relevant to the topic.,15,0.705,0.626,199,10,1
Document_6.pdf,Summary,This is a sample text for the section Summary. It contains information relevant to the topic.,9,0.423,0.681,328,7,1
Document_6.pdf,Recommendations,This is a sample text for the section Recommendations. It contains information relevant to the topic.,1,0.681,0.506,77,15,1
Document_9.pdf,Appendix,This is a sample text for the section Appendix. It contains information relevant to the topic.,7,0.358,0.117,88,8,0
Document_8.pdf,Key Points,This is a sample text for the section Key Points. It contains information relevant to the topic.,18,0.192,0.051,160,10,1
Document_10.pdf,Limitations,This is a sample text for the section Limitations. It contains information relevant to the topic.,9,0.61,0.943,435,11,1
Document_5.pdf,Results,This is a sample text for the section Results. It contains information relevant to the topic.,9,0.645,0.484,65,7,1
Document_1.pdf,Overview,This is a sample text for the section Overview. It contains information relevant to the topic.,1,0.856,0.192,320,8,0
Document_1.pdf,Appendix,This is a sample text for the section Appendix. It contains information relevant to the topic.,7,0.896,0.332,264,8,1
Document_1.pdf,Findings,This is a sample text for the section Findings. It contains information relevant to the topic.,5,0.555,0.55,448,8,1
Document_9.pdf,Appendix,This is a sample text for the section Appendix. It contains information relevant to the topic.,1,0.476,0.183,170,8,1
Document_2.pdf,Results,This is a sample text for the section Results. It contains information relevant to the topic.,1,0.825,0.312,439,7,1
Document_1.pdf,Overview,This is a sample text for the section Overview. It contains information relevant to the topic.,6,0.772,0.637,377,8,0
Document_5.pdf,Results,This is a sample text for the section Results. It contains information relevant to the topic.,2,0.03,0.688,194,7,0
Document_3.pdf,Background,This is a sample text for the section Background. It contains information relevant to the topic.,19,0.571,0.826,188,10,1
Document_8.pdf,Abstract,This is a sample text for the section Abstract. It contains information relevant to the topic.,1,0.002,0.334,226,8,1
Document_10.pdf,Results,This is a sample text for the section Results. It contains information relevant to the topic.,17,0.65,0.691,102,7,0
Document_4.pdf,Discussion,This is a sample text for the section Discussion. It contains information relevant to the topic.,7,0.393,0.594,488,10,0
Document_3.pdf,Results,This is a sample text for the section Results. It contains information relevant to the topic.,17,0.371,0.233,419,7,0
Document_10.pdf,Analysis,This is a sample text for the section Analysis. It contains information relevant to the topic.,12,0.747,0.518,240,8,1
Document_3.pdf,Objectives,This is a sample text for the section Objectives. It contains information relevant to the topic.,9,0.764,0.388,290,10,0
Document_7.pdf,Results,This is a sample text for the section Results. It contains information relevant to the topic.,18,0.309,0.149,488,7,0
Document_2.pdf,Scope,This is a sample text for the section Scope. It contains information relevant to the topic.,16,0.31,0.069,291,5,1
Document_10.pdf,Conclusion,This is a sample text for the section Conclusion. It contains information relevant to the topic.,5,0.041,0.78,91,10,0
Document_10.pdf,Scope,This is a sample text for the section Scope. It contains information relevant to the topic.,13,0.115,0.45,423,5,1
Document_10.pdf,Background,This is a sample text for the section Background. It contains information relevant to the topic.,12,0.435,0.429,55,10,0
Document_5.pdf,Conclusion,This is a sample text for the section Conclusion. It contains information relevant to the topic.,17,0.602,0.311,238,10,0
Document_5.pdf,Objectives,This is a sample text for the section Objectives. It contains information relevant to the topic.,11,0.937,0.283,321,10,0
Document_8.pdf,Case Study,This is a sample text for the section Case Study. It contains information relevant to the topic.,16,0.001,0.679,102,10,1
Document_2.pdf,Key Points,This is a sample text for the section Key Points. It contains information relevant to the topic.,17,0.535,0.531,301,10,1
Document_6.pdf,Objectives,This is a sample text for the section Objectives. It contains information relevant to the topic.,1,0.076,0.576,331,10,0
Document_2.pdf,Discussion,This is a sample text for the section Discussion. It contains information relevant to the topic.,20,0.698,0.421,110,10,1
Document_3.pdf,Limitations,This is a sample text for the section Limitations. It contains information relevant to the topic.,19,0.325,0.404,252,11,1
Document_8.pdf,References,This is a sample text for the section References. It contains information relevant to the topic.,20,0.787,0.383,73,10,1
Document_10.pdf,Discussion,This is a sample text for the section Discussion. It contains information relevant to the topic.,13,0.97,0.525,307,10,0
Document_8.pdf,Case Study,This is a sample text for the section Case Study. It contains information relevant to the topic.,2,0.851,0.321,65,10,1
Document_6.pdf,Summary,This is a sample text for the section Summary. It contains information relevant to the topic.,10,0.641,0.394,288,7,1
Document_9.pdf,Future Work,This is a sample text for the section Future Work. It contains information relevant to the topic.,4,0.724,0.795,164,11,0
Document_7.pdf,Objectives,This is a sample text for the section Objectives. It contains information relevant to the topic.,17,0.468,0.573,99,10,0
Document_7.pdf,Background,This is a sample text for the section Background. It contains information relevant to the topic.,16,0.576,0.169,158,10,0
Document_3.pdf,Results,This is a sample text for the section Results. It contains information relevant to the topic.,15,0.231,0.495,289,7,0
Document_7.pdf,Methodology,This is a sample text for the section Methodology. It contains information relevant to the topic.,15,0.71,0.581,255,11,1
Document_10.pdf,Abstract,This is a sample text for the section Abstract. It contains information relevant to the topic.,2,0.977,0.258,207,8,1
Document_4.pdf,References,This is a sample text for the section References. It contains information relevant to the topic.,10,0.1,0.176,466,10,1
Document_6.pdf,Conclusion,This is a sample text for the section Conclusion. It contains information relevant to the topic.,20,0.083,0.586,155,10,1
Document_6.pdf,Limitations,This is a sample text for the section Limitations. It contains information relevant to the topic.,14,0.114,0.695,437,11,1
Document_4.pdf,Scope,This is a sample text for the section Scope. It contains information relevant to the topic.,11,0.207,0.941,366,5,1
Document_6.pdf,Objectives,This is a sample text for the section Objectives. It contains information relevant to the topic.,16,0.113,0.061,380,10,0
Document_3.pdf,Case Study,This is a sample text for the section Case Study. It contains information relevant to the topic.,15,0.397,0.782,290,10,1
Document_2.pdf,Background,This is a sample text for the section Background. It contains information relevant to the topic.,10,0.377,0.842,470,10,1
Document_2.pdf,Results,This is a sample text for the section Results. It contains information relevant to the topic.,3,0.859,0.789,63,7,1
Document_3.pdf,Key Points,This is a sample text for the section Key Points. It contains information relevant to the topic.,16,0.139,0.397,153,10,1
Document_9.pdf,Introduction,This is a sample text for the section Introduction. It contains information relevant to the topic.,3,0.031,0.517,353,12,1
Document_5.pdf,Scope,This is a sample text for the section Scope. It contains information relevant to the topic.,6,0.152,0.867,220,5,1
Document_2.pdf,Abstract,This is a sample text for the section Abstract. It contains information relevant to the topic.,5,0.419,0.229,288,8,1
Document_9.pdf,Overview,This is a sample text for the section Overview. It contains information relevant to the topic.,16,0.994,0.002,388,8,1
Document_3.pdf,Limitations,This is a sample text for the section Limitations. It contains information relevant to the topic.,19,0.689,0.483,373,11,0
Document_2.pdf,Appendix,This is a sample text for the section Appendix. It contains information relevant to the topic.,10,0.74,0.974,175,8,0
Document_7.pdf,Key Points,This is a sample text for the section Key Points. It contains information relevant to the topic.,1,0.894,0.861,377,10,0
Document_7.pdf,Analysis,This is a sample text for the section Analysis. It contains information relevant to the topic.,20,0.091,0.194,301,8,1
Document_8.pdf,Findings,This is a sample text for the section Findings. It contains information relevant to the topic.,20,0.181,0.672,113,8,1
